unix,partitioned,heights,header_heights,tips,mempools,peers,rss_mb
1790160420,false,701/701/701/701/701,701/701/701/701/701,126250eb/126250eb/126250eb/126250eb/126250eb,3/3/3/3/3,4/4/4/4/4,271/270/271/270/270/264/264
1790160435,false,704/704/704/704/704,704/704/704/704/704,a6504863/a6504863/a6504863/a6504863/a6504863,0/0/0/0/0,4/4/4/4/4,271/270/271/270/270/264/264
1790160450,false,707/707/707/707/707,707/707/707/707/707,fbaa9de3/fbaa9de3/fbaa9de3/fbaa9de3/fbaa9de3,1/1/1/1/1,4/4/4/4/4,271/270/271/270/270/264/264
1790160466,false,707/707/707/707/707,707/707/707/707/707,fbaa9de3/fbaa9de3/fbaa9de3/fbaa9de3/fbaa9de3,2/2/2/2/2,4/4/4/4/4,271/270/271/270/270/264/264
1790160481,false,710/710/710/710/710,710/710/710/710/710,5eb12951/5eb12951/5eb12951/5eb12951/5eb12951,1/1/1/1/1,4/4/4/4/4,271/270/271/270/270/264/264
1790160496,true,712/711/711/711/711,712/711/711/711/711,17dd9ab2/97406cc4/97406cc4/97406cc4/97406cc4,0/0/0/0/0,1/1/2/2/2,271/273/271/270/270/264/262
1790160511,true,713/713/715/715/715,713/713/715/715/715,6eb8ccac/6eb8ccac/e1367d75/e1367d75/e1367d75,0/0/0/0/0,1/1/2/2/2,271/271/271/270/270/264/264
1790160526,true,713/713/719/718/718,713/713/719/718/718,6eb8ccac/6eb8ccac/bc403c42/b4073b46/b4073b46,0/2/0/1/1,1/1/2/2/2,271/271/271/270/270/264/264
1790160542,true,714/713/720/720/720,714/713/720/720/720,e69f2367/6eb8ccac/b04b3b11/b04b3b11/b04b3b11,0/2/2/1/2,1/1/2/2/2,271/270/271/270/270/264/264
1790160556,true,714/714/721/721/721,714/714/721/721/721,e69f2367/e69f2367/bc4431e6/bc4431e6/bc4431e6,0/0/0/0/0,1/1/2/2/2,271/270/271/270/270/264/264
1790160571,true,715/715/723/723/723,715/715/723/723/723,25a33deb/25a33deb/956cb760/956cb760/956cb760,0/0/0/0/0,1/1/2/2/2,271/271/271/270/270/264/264
1790160587,true,715/715/723/723/723,715/715/723/723/723,25a33deb/25a33deb/956cb760/956cb760/956cb760,0/0/1/1/1,1/1/2/2/2,271/270/271/270/270/264/264
1790160602,true,717/717/726/726/726,717/717/726/726/726,e14b9e9e/e14b9e9e/fa03e069/fa03e069/fa03e069,1/1/0/0/0,1/1/2/2/2,271/271/271/270/270/264/264
1790160617,true,717/717/726/726/726,717/717/726/726/726,e14b9e9e/e14b9e9e/fa03e069/fa03e069/fa03e069,1/1/0/0/0,1/1/2/2/2,271/270/271/270/270/262/264
1790160632,true,720/720/726/726/726,720/720/726/726/726,492c6936/492c6936/fa03e069/fa03e069/fa03e069,0/1/0/0/0,1/1/2/2/2,271/271/271/270/270/264/264
1790160647,true,722/722/728/728/728,722/722/728/728/728,636a8da2/636a8da2/eca08628/eca08628/eca08628,0/0/1/1/1,1/1/2/2/2,271/271/271/270/270/264/264
1790160662,true,724/724/731/731/731,724/724/731/731/731,c18263c5/c18263c5/f2c81c3d/f2c81c3d/f2c81c3d,0/0/1/1/1,1/1/2/2/2,271/271/271/270/270/264/264
1790160677,true,724/724/732/732/732,724/724/732/732/732,c18263c5/c18263c5/9dbf28ed/9dbf28ed/9dbf28ed,0/0/0/0/0,1/1/2/2/2,271/271/271/270/270/264/264
1790160692,true,725/725/734/734/734,725/725/734/734/734,63632b5e/63632b5e/c2d994a5/c2d994a5/c2d994a5,1/1/0/0/0,1/1/2/2/2,271/271/271/270/270/264/264
1790160707,true,726/725/734/734/734,726/725/734/734/734,a8cb5018/63632b5e/c2d994a5/c2d994a5/c2d994a5,0/2/0/0/0,1/1/2/2/2,271/273/271/270/270/264/264
1790160722,true,729/729/736/736/736,729/729/736/736/736,f58b687a/f58b687a/116badfb/116badfb/116badfb,0/1/0/0/0,1/1/2/2/2,271/271/271/270/270/264/264
1790160744,false,731/731/736/736/736,731/731/736/736/736,62194aa8/62194aa8/116badfb/116badfb/116badfb,0/0/0/0/0,1/3/3/3/2,279/271/271/270/270/264/264
1790160753,false,737/737/737/737/737,737/737/737/737/737,2f4d2469/2f4d2469/2f4d2469/2f4d2469/2f4d2469,5/5/0/0/0,4/4/4/4/4,271/271/271/270/270/264/264
1790160768,false,738/738/738/738/738,738/738/738/738/738,2bb99b83/2bb99b83/2bb99b83/2bb99b83/2bb99b83,0/0/0/0/0,4/4/4/4/4,271/271/271/270/270/264/264
1790160783,false,738/738/738/738/738,738/738/738/738/738,2bb99b83/2bb99b83/2bb99b83/2bb99b83/2bb99b83,1/1/1/1/1,4/4/4/4/4,271/271/271/270/270/264/264
1790160798,false,740/740/740/740/740,740/740/740/740/740,773e35ac/773e35ac/773e35ac/773e35ac/773e35ac,0/0/0/0/0,4/4/4/4/4,271/271/271/270/270/264/264
1790160813,false,740/740/740/740/740,740/740/740/740/740,773e35ac/773e35ac/773e35ac/773e35ac/773e35ac,1/1/1/1/1,4/4/4/4/4,271/271/273/270/270/264/262
1790160829,false,741/741/743/741/741,742/742/743/742/742,432ad855/432ad855/4e79a11a/432ad855/432ad855,1/1/0/1/1,4/4/4/4/4,272/273/271/270/270/264/262
1790160843,false,746/746/746/746/746,746/746/746/746/746,a604ddd1/a604ddd1/a604ddd1/a604ddd1/a604ddd1,0/0/0/0/0,4/4/4/4/4,272/271/271/270/270/264/264
1790160859,false,748/747/747/747/747,748/747/747/747/747,a1def58e/9e327a97/9e327a97/9e327a97/9e327a97,0/1/1/1/1,4/4/4/4/4,272/271/271/270/270/264/264
1790160873,false,749/749/749/749/749,749/749/749/749/749,6d0a0397/6d0a0397/6d0a0397/6d0a0397/6d0a0397,0/0/0/0/0,4/4/4/4/4,272/271/271/270/270/264/264
1790160889,false,749/749/750/749/749,749/749/750/749/749,6d0a0397/6d0a0397/ab6d3dc5/6d0a0397/6d0a0397,0/0/0/0/0,4/4/4/4/4,272/271/271/272/270/264/262
1790160903,false,753/753/753/753/753,753/753/753/753/753,469111cd/469111cd/469111cd/469111cd/469111cd,0/0/0/0/0,4/4/4/4/4,272/271/271/270/270/264/264
1790160919,false,754/754/754/754/754,754/754/754/754/754,439da727/439da727/132ae19a/439da727/439da727,2/2/2/2/2,4/4/4/4/4,272/271/271/270/270/264/264
